,Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
0,GOOG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AAPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AMZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AXP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,BA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,BAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CSCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CVX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,DIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,FB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,GE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,GOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,HD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,HPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,IBM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,INTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,JNJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,JPM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,KO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,MCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,MMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,MRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,MSFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,PFE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,RTX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TRV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UNH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,ZNGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,ACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,ADBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,ADSK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,AGNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,AMGN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,AMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,ANF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,APHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,ATVI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,BABA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BIDU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,BRK.B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,BYND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,CARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
